I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-31,152,183,-60,-107,168,46,-20,6,-63,-131,71
-31,152,183,-60,-107,168,46,-19,6,-62,-131,72
-30,153,183,-61,-106,168,45,-19,6,-63,-131,71
-30,153,183,-61,-106,168,45,-18,6,-62,-131,72
-29,153,182,-62,-105,168,45,-17,6,-62,-130,73
-29,153,182,-62,-105,168,45,-17,6,-62,-129,74
-28,154,182,-63,-105,168,43,-17,5,-63,-129,73
-28,154,182,-63,-105,168,43,-17,4,-63,-128,74
-27,154,181,-63,-104,168,43,-17,4,-63,-128,74
-27,153,180,-63,-103,167,43,-17,4,-63,-128,75
-26,154,180,-64,-103,167,43,-17,4,-62,-127,75
-26,154,180,-64,-103,167,43,-16,4,-61,-126,76
-25,155,180,-65,-102,168,43,-16,3,-61,-126,76
-25,155,180,-65,-102,168,43,-15,3,-61,-125,77
-24,155,179,-65,-101,167,43,-15,3,-60,-124,78
-24,155,179,-65,-101,167,42,-14,3,-60,-123,79
-23,155,178,-66,-100,167,41,-15,1,-61,-123,79
-22,155,177,-66,-99,166,40,-16,0,-62,-123,80
-22,155,177,-66,-99,166,39,-16,0,-62,-122,80
-22,155,177,-66,-99,166,39,-16,-1,-62,-121,81
-21,155,176,-67,-98,166,38,-16,-2,-62,-121,81
-21,155,176,-67,-98,166,38,-16,-3,-61,-120,81
-20,155,175,-67,-97,165,37,-16,-5,-61,-120,81
-19,156,175,-68,-97,166,37,-16,-6,-60,-119,83
-18,156,174,-69,-96,165,35,-16,-7,-60,-118,83
-17,157,174,-70,-95,166,35,-16,-9,-60,-117,85
-16,157,173,-70,-94,165,34,-16,-11,-60,-116,86
-15,158,173,-71,-94,166,33,-17,-13,-60,-114,88
-14,158,172,-72,-93,165,31,-18,-16,-61,-114,88
-13,158,171,-72,-92,165,31,-18,-19,-61,-113,89
-12,158,170,-73,-91,164,30,-18,-21,-61,-112,90
-12,159,171,-73,-91,165,28,-20,-25,-62,-112,89
-11,159,170,-74,-90,165,28,-20,-27,-62,-110,91
-10,160,170,-75,-90,165,26,-21,-31,-63,-110,91
-9,161,170,-76,-89,166,25,-22,-34,-63,-108,93
-8,161,169,-76,-88,165,23,-24,-38,-65,-108,94
-8,162,170,-77,-89,166,22,-25,-42,-65,-106,96
-7,162,169,-77,-88,166,21,-26,-45,-65,-104,98
-6,162,168,-78,-87,165,19,-28,-50,-66,-104,99
-5,162,167,-78,-86,165,17,-29,-54,-67,-102,101
-4,162,166,-79,-85,164,17,-31,-58,-66,-101,102
-4,163,167,-79,-85,165,14,-33,-64,-68,-100,102
-3,163,166,-80,-84,165,13,-34,-68,-68,-99,103
-2,164,166,-81,-84,165,11,-36,-73,-69,-98,104
-2,164,166,-81,-84,165,10,-37,-78,-70,-96,106
-1,165,166,-82,-83,166,9,-39,-82,-70,-94,108
0,165,165,-82,-82,165,7,-41,-87,-72,-93,108
0,165,165,-82,-82,165,6,-43,-92,-72,-91,110
1,165,164,-83,-81,165,5,-45,-96,-72,-90,112
1,165,164,-83,-81,165,4,-47,-100,-73,-89,113
2,166,164,-84,-81,165,2,-50,-106,-74,-89,113
2,166,164,-84,-81,165,2,-52,-110,-74,-89,113
2,166,164,-84,-81,165,1,-55,-114,-74,-88,114
3,166,163,-84,-80,165,0,-57,-118,-75,-88,115
3,166,163,-84,-80,165,0,-59,-121,-76,-87,116
3,166,163,-84,-80,165,-1,-61,-124,-77,-87,117
2,166,164,-84,-81,165,-2,-63,-127,-78,-87,117
2,165,163,-83,-80,164,-2,-64,-129,-78,-86,118
1,165,164,-83,-81,165,-3,-66,-131,-79,-87,118
0,165,165,-82,-82,165,-3,-68,-133,-80,-88,118
-1,165,166,-82,-83,166,-2,-68,-133,-79,-88,118
-2,165,167,-81,-84,166,-2,-69,-133,-80,-90,117
-3,166,169,-81,-86,168,-2,-70,-133,-80,-91,116
-4,166,170,-81,-87,168,-1,-70,-132,-81,-93,115
-5,166,171,-80,-88,169,1,-69,-130,-81,-94,115
-7,167,174,-80,-90,171,1,-70,-129,-82,-96,113
-8,167,175,-79,-91,171,2,-71,-127,-84,-98,112
-10,167,177,-78,-93,172,4,-70,-125,-84,-100,111
-12,167,179,-77,-95,173,5,-70,-123,-85,-102,110
-14,167,181,-76,-97,174,6,-71,-122,-87,-105,107
-15,167,182,-76,-98,175,8,-70,-119,-87,-107,106
-17,167,184,-75,-100,176,10,-70,-117,-88,-110,103
-18,167,185,-74,-101,176,12,-69,-114,-89,-111,102
-20,167,187,-73,-103,177,13,-69,-112,-89,-113,101
-21,167,188,-73,-104,178,15,-68,-108,-90,-115,99
-22,167,189,-72,-105,178,16,-68,-106,-91,-117,98
-24,167,191,-71,-107,179,18,-67,-102,-92,-118,97
-25,167,192,-71,-108,180,18,-67,-101,-93,-121,95
-27,167,194,-70,-110,181,20,-66,-98,-94,-123,94
-29,167,196,-69,-112,182,20,-66,-96,-95,-125,91
-30,166,196,-68,-113,181,22,-66,-93,-96,-127,90
-32,166,198,-67,-115,182,24,-65,-90,-96,-128,89
-33,166,199,-66,-116,183,25,-64,-88,-97,-130,87
-34,166,200,-66,-117,183,26,-64,-86,-98,-132,85
-35,165,200,-65,-117,183,28,-63,-83,-98,-133,85
-36,165,201,-64,-118,183,29,-63,-81,-99,-135,84
-37,165,202,-64,-119,184,30,-62,-78,-100,-136,83
-37,165,202,-64,-119,184,31,-63,-77,-101,-138,82
-38,165,203,-63,-120,184,31,-63,-76,-102,-139,80
-39,164,203,-62,-121,184,32,-62,-74,-102,-140,80
-40,164,204,-62,-122,184,33,-62,-73,-102,-141,78
-40,163,203,-61,-121,183,33,-61,-72,-103,-142,77
-41,163,204,-61,-122,184,35,-60,-70,-103,-142,77
-41,163,204,-61,-122,184,35,-59,-69,-104,-142,77
-41,163,204,-61,-122,184,35,-59,-68,-104,-143,76
-41,163,204,-61,-122,184,35,-59,-67,-105,-143,76
-41,162,203,-60,-122,183,36,-59,-66,-105,-144,76
-41,162,203,-60,-122,183,36,-59,-65,-105,-145,75
-42,161,203,-59,-122,182,37,-58,-64,-104,-144,75
-42,161,203,-59,-122,182,36,-58,-63,-104,-145,75
-43,160,203,-58,-123,182,36,-57,-62,-104,-146,74
-43,160,203,-58,-123,182,36,-57,-61,-103,-146,73
-43,160,203,-58,-123,182,36,-57,-60,-103,-147,73
-42,160,202,-59,-122,181,36,-56,-59,-103,-147,72
-42,160,202,-59,-122,181,36,-56,-59,-103,-147,72
-42,160,202,-59,-122,181,36,-56,-58,-103,-147,72
-42,160,202,-59,-122,181,36,-56,-57,-103,-148,72
-43,160,203,-58,-123,182,36,-56,-57,-103,-148,72
-43,160,203,-58,-123,182,36,-56,-57,-104,-148,72
-43,160,203,-58,-123,182,36,-56,-56,-104,-148,71
-43,160,203,-58,-123,182,37,-55,-56,-104,-148,71
-43,160,203,-58,-123,182,37,-55,-56,-103,-148,71
-43,160,203,-58,-123,182,38,-55,-55,-103,-148,71
-43,160,203,-58,-123,182,38,-55,-55,-104,-148,70
