I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-185,-24,161,105,-173,69,179,91,38,-6,79,51
-186,-25,161,106,-173,68,177,90,37,-6,78,51
-188,-29,159,109,-173,65,176,88,38,-7,78,50
-189,-30,159,110,-174,65,177,88,38,-8,77,50
-189,-31,158,110,-173,64,177,87,37,-9,75,49
-190,-31,159,111,-174,64,175,87,36,-10,74,47
-187,-28,159,108,-173,66,177,88,38,-8,77,48
-181,-22,159,102,-170,69,179,90,39,-5,80,51
-180,-21,159,101,-169,69,181,91,38,-3,83,54
-185,-25,160,105,-172,68,180,90,37,-4,81,53
-187,-26,161,107,-174,68,179,89,36,-5,76,53
-184,-24,160,104,-172,68,178,88,35,-6,72,53
-182,-22,160,102,-171,69,179,88,35,-6,73,53
-182,-23,159,103,-170,68,178,89,35,-8,77,52
-183,-23,160,103,-171,69,177,88,34,-11,79,51
-184,-24,160,104,-172,68,178,88,34,-11,79,50
-186,-27,159,107,-172,66,178,89,34,-10,77,49
-189,-30,159,110,-174,65,178,89,33,-11,74,48
-191,-31,160,111,-175,65,177,87,31,-12,73,47
-192,-31,161,112,-176,65,178,86,30,-13,72,45
-189,-30,159,110,-174,65,178,87,31,-12,73,45
-186,-28,158,107,-172,65,177,86,31,-11,72,45
-186,-29,157,108,-171,64,176,84,29,-12,73,45
-188,-31,157,110,-172,63,175,82,29,-13,74,46
-185,-28,157,107,-171,65,176,83,29,-13,76,48
-179,-23,156,101,-167,67,178,84,30,-14,74,48
-182,-25,157,104,-169,66,179,85,30,-14,72,48
-188,-30,158,109,-173,64,178,83,27,-17,72,48
-188,-29,159,109,-173,65,179,84,26,-17,74,50
-183,-25,158,104,-170,67,180,84,26,-17,76,50
-184,-26,158,105,-171,66,179,84,26,-16,76,50
-187,-30,157,109,-172,64,177,82,24,-17,74,47
-189,-31,158,110,-173,64,176,82,24,-17,73,46
-190,-32,158,111,-174,63,175,81,25,-17,72,45
-190,-33,157,112,-173,62,175,80,24,-17,71,44
-187,-32,155,110,-171,62,176,81,25,-17,71,45
-184,-29,155,107,-169,63,178,82,25,-17,71,46
-183,-28,155,106,-169,64,178,82,24,-18,71,46
-184,-29,155,107,-169,63,179,81,23,-19,73,46
-185,-29,156,107,-170,64,178,81,22,-21,74,46
-185,-28,157,107,-171,65,177,81,22,-21,75,46
-186,-28,158,107,-172,65,176,80,21,-21,75,45
-188,-31,157,110,-172,63,177,81,22,-19,73,44
-189,-32,157,111,-173,63,176,81,22,-20,69,42
-189,-31,158,110,-173,64,176,80,23,-20,65,43
-187,-31,156,109,-171,63,176,79,21,-22,63,42
-186,-30,156,108,-171,63,177,79,21,-23,67,43
-186,-30,156,108,-171,63,178,79,20,-24,72,44
-190,-33,157,112,-173,62,177,77,18,-24,73,44
-192,-35,157,114,-174,61,175,77,17,-24,71,42
-191,-35,156,113,-173,61,175,78,18,-22,70,42
-190,-35,155,113,-172,60,175,77,17,-22,71,43
-193,-37,156,115,-174,60,173,76,16,-24,70,41
-197,-40,157,119,-177,59,173,76,15,-25,70,40
-196,-39,157,118,-176,59,173,76,15,-26,69,40
-189,-33,156,111,-172,62,177,78,18,-23,70,42
-185,-29,156,107,-170,64,179,79,20,-22,70,42
-186,-29,157,108,-171,64,179,79,19,-23,68,41
-186,-30,156,108,-171,63,179,79,18,-23,68,42
-187,-31,156,109,-171,63,178,78,17,-24,68,42
-189,-32,157,111,-173,63,177,77,15,-24,69,42
-191,-33,158,112,-174,63,176,76,15,-24,70,42
-190,-33,157,112,-173,62,177,77,17,-24,71,43
-185,-29,156,107,-170,64,178,78,18,-23,70,43
-182,-27,155,105,-168,64,178,79,19,-23,69,43
-186,-31,155,109,-170,62,177,78,18,-25,68,41
-192,-37,155,115,-173,59,175,76,16,-27,65,38
-196,-39,157,118,-176,59,175,78,15,-28,65,37
-194,-37,157,116,-175,60,176,77,16,-27,66,37
-191,-35,156,113,-173,61,176,77,16,-26,67,38
-189,-32,157,111,-173,63,177,77,16,-24,68,40
-188,-30,158,109,-173,64,177,77,16,-24,69,42
-188,-31,157,110,-172,63,177,77,17,-24,69,43
-188,-32,156,110,-172,62,176,77,17,-25,68,42
-189,-32,157,111,-173,63,176,76,16,-26,68,41
-189,-32,157,111,-173,63,176,75,16,-27,68,40
-188,-33,155,111,-171,61,177,75,16,-28,69,40
-190,-33,157,112,-173,62,177,76,17,-27,69,41
-192,-34,158,113,-175,62,178,75,15,-27,69,42
-191,-34,157,113,-174,62,177,75,15,-28,69,42
-190,-33,157,112,-173,62,177,76,15,-27,69,41
-189,-33,156,111,-172,62,177,76,15,-27,67,41
-192,-37,155,115,-173,59,175,75,14,-29,65,39
-197,-41,156,119,-176,58,173,74,14,-29,65,37
-195,-40,155,118,-175,58,173,74,14,-28,67,38
-189,-35,154,112,-171,60,175,74,15,-26,68,39
-188,-33,155,111,-171,61,176,74,14,-27,68,40
-194,-39,155,117,-174,58,175,74,12,-29,66,39
-200,-44,156,122,-178,56,173,73,11,-30,63,37
-198,-42,156,120,-177,57,173,74,12,-31,64,37
-192,-35,157,114,-174,61,176,76,15,-29,67,40
-188,-31,157,110,-172,63,178,78,17,-26,69,42
-189,-32,157,111,-173,63,177,76,15,-26,69,43
-189,-31,158,110,-173,64,177,76,16,-27,69,43
-187,-30,157,109,-172,64,177,75,15,-27,70,43
-189,-32,157,111,-173,63,175,73,14,-28,69,41
-193,-38,155,116,-174,59,175,74,13,-29,68,40
-195,-40,155,118,-175,58,174,73,12,-31,67,40
-194,-39,155,117,-174,58,174,73,12,-30,67,41
-192,-36,156,114,-174,60,175,74,13,-28,68,43
-189,-33,156,111,-172,62,175,75,14,-27,69,44
-186,-30,156,108,-171,63,176,75,15,-26,71,45
-186,-29,157,108,-171,64,175,75,16,-26,70,44
-189,-32,157,111,-173,63,174,73,16,-27,69,42
-193,-36,157,115,-175,61,174,73,14,-28,68,41
-195,-37,158,116,-176,61,175,73,14,-29,68,41
-194,-35,159,115,-176,62,176,75,16,-28,68,41
-193,-36,157,115,-175,61,176,76,16,-28,67,42
-192,-36,156,114,-174,60,176,76,15,-27,67,42
-192,-35,157,114,-174,61,175,75,14,-28,68,42
-192,-37,155,115,-173,59,175,75,14,-28,68,41
-194,-39,155,117,-174,58,174,74,13,-29,67,40
-197,-42,155,120,-176,57,172,72,12,-31,66,38
-198,-44,154,121,-176,55,171,71,12,-32,65,37
-194,-39,155,117,-174,58,173,73,13,-30,66,38
-188,-33,155,111,-171,61,177,75,15,-27,69,40
-188,-31,157,110,-172,63,178,76,16,-27,70,42
-191,-34,157,113,-174,62,177,75,14,-28,69,42
-194,-37,157,116,-175,60,176,75,13,-29,67,42
-193,-37,156,115,-174,60,174,74,11,-30,66,41
-191,-36,155,114,-173,60,173,73,11,-30,66,41
-190,-37,153,114,-171,58,173,74,12,-29,67,41
-189,-35,154,112,-171,60,174,74,12,-29,68,41
-189,-35,154,112,-171,60,173,74,13,-29,69,41
-191,-37,154,114,-172,59,172,73,13,-30,69,41
-192,-39,153,116,-172,57,171,72,12,-31,67,40
-193,-40,153,117,-173,57,171,71,12,-32,66,40
-192,-39,153,116,-172,57,173,73,13,-29,67,41
-190,-36,154,113,-172,59,175,74,12,-28,67,41
-191,-37,154,114,-172,59,176,74,13,-27,68,41
-195,-40,155,118,-175,58,174,73,11,-28,67,40
-196,-41,155,119,-175,57,174,73,12,-28,69,42
-192,-38,154,115,-173,58,173,73,11,-30,69,42
-192,-37,155,115,-173,59,172,73,11,-31,68,42
-193,-39,154,116,-173,58,171,72,10,-33,67,41
-192,-38,154,115,-173,58,171,73,11,-32,66,40
-190,-36,154,113,-172,59,173,74,13,-30,68,42
-190,-36,154,113,-172,59,173,73,12,-31,68,42
-193,-38,155,116,-174,59,174,73,11,-30,67,41
-194,-39,155,117,-174,58,173,73,11,-30,66,40
-192,-39,153,116,-172,57,173,74,11,-31,66,41
-191,-39,152,115,-171,57,172,73,11,-32,66,40
-190,-39,151,115,-170,56,172,74,12,-32,67,39
-189,-38,151,114,-170,57,172,74,12,-31,67,39
-188,-37,151,113,-169,57,173,75,13,-30,68,41
-189,-37,152,113,-170,58,173,74,13,-30,68,40
-191,-39,152,115,-171,57,172,73,12,-31,67,39
-192,-40,152,116,-172,56,172,74,12,-30,68,40
-190,-37,153,114,-171,58,173,75,12,-29,68,42
-188,-33,155,111,-171,61,173,74,13,-28,68,43
-189,-32,157,111,-173,63,175,75,14,-28,69,43
-189,-32,157,111,-173,63,174,75,14,-29,69,42
-190,-33,157,112,-173,62,174,76,15,-28,69,42
-190,-33,157,112,-173,62,173,76,16,-28,69,42
-187,-30,157,109,-172,64,174,76,16,-27,69,43
-185,-27,158,106,-171,66,174,77,18,-26,70,44
-187,-27,160,107,-173,67,173,77,18,-25,70,44
-192,-31,161,112,-176,65,173,76,16,-26,69,43
-194,-31,163,113,-178,66,173,77,16,-25,70,44
-190,-27,163,109,-176,68,174,77,16,-25,71,44
-185,-21,164,103,-174,72,176,77,16,-24,71,45
-184,-20,164,102,-174,72,178,79,18,-23,73,46
-186,-22,164,104,-175,71,177,78,18,-24,72,45
-189,-23,166,106,-177,72,174,75,18,-25,71,44
-188,-21,167,105,-177,73,174,76,18,-25,72,46
-186,-18,168,102,-177,75,176,79,21,-22,73,48
-187,-19,168,103,-177,75,175,80,22,-22,71,45
-190,-23,167,107,-178,72,175,81,22,-22,70,44
-189,-23,166,106,-177,72,172,79,20,-23,69,43
-187,-20,167,104,-177,74,171,80,21,-20,71,46
-184,-17,167,101,-175,75,168,76,19,-20,73,49
-183,-15,168,99,-175,77,163,69,16,-21,76,52
-182,-13,169,98,-175,78,159,65,15,-21,78,54
-181,-12,169,97,-175,79,158,64,15,-21,79,55
-181,-14,167,98,-174,77,159,67,16,-21,80,55
-182,-15,167,99,-174,76,160,67,16,-22,78,53
-183,-16,167,100,-175,76,161,68,17,-22,78,53
-186,-17,169,102,-177,76,163,69,17,-21,78,53
-188,-17,171,103,-179,77,164,70,18,-20,78,53
-189,-17,172,103,-180,78,163,69,17,-20,78,52
-189,-17,172,103,-180,78,163,69,16,-21,78,52
-185,-16,169,101,-177,77,164,71,17,-21,80,53
-182,-15,167,99,-174,76,164,72,17,-20,80,52
-181,-16,165,99,-173,75,164,71,17,-20,80,51
-182,-18,164,100,-173,73,165,70,16,-20,79,50
-184,-21,163,103,-173,71,165,70,15,-22,78,49
-186,-24,162,105,-174,69,166,70,13,-24,77,49
-187,-26,161,107,-174,68,168,70,13,-25,77,49
-187,-27,160,107,-173,67,168,70,13,-25,77,50
-185,-26,159,106,-172,67,168,70,14,-24,77,51
-184,-26,158,105,-171,66,170,71,15,-23,78,52
-187,-29,158,108,-172,65,169,72,15,-23,78,50
-191,-33,158,112,-174,63,167,70,14,-25,76,48
-191,-33,158,112,-174,63,167,69,13,-26,74,47
-191,-32,159,112,-175,64,170,71,14,-27,74,46
-191,-33,158,112,-174,63,171,71,14,-28,72,43
-192,-35,157,114,-174,61,173,71,13,-29,70,42
-193,-38,155,116,-174,59,175,73,13,-30,69,42
-195,-40,155,118,-175,58,174,71,11,-32,67,41
-197,-42,155,120,-176,57,173,70,9,-33,65,41
-195,-42,153,119,-174,56,174,71,10,-31,66,40
-193,-42,151,118,-172,55,174,71,9,-31,66,39
-194,-46,148,120,-171,51,174,71,9,-32,66,38
-195,-48,147,122,-171,50,174,71,8,-33,64,37
-193,-46,147,120,-170,51,175,71,8,-34,63,35
-193,-46,147,120,-170,51,175,70,7,-34,64,36
-196,-49,147,123,-171,49,174,69,6,-36,64,36
-198,-50,148,124,-173,49,174,69,6,-36,64,36
-195,-46,149,121,-172,52,174,70,7,-35,65,38
-192,-44,148,118,-170,52,175,71,8,-34,66,39
-193,-45,148,119,-170,52,176,71,8,-33,66,39
-194,-46,148,120,-171,51,176,72,9,-33,66,38
-195,-46,149,121,-172,52,176,73,9,-33,65,37
-196,-47,149,122,-172,51,177,73,9,-33,64,37
-196,-48,148,122,-172,50,176,72,8,-34,62,36
-196,-49,147,123,-171,49,175,72,8,-34,61,35
-196,-49,147,123,-171,49,175,72,8,-33,60,35
-198,-51,147,125,-172,48,175,71,8,-32,61,35
-200,-51,149,126,-174,49,174,69,6,-35,61,34
-197,-48,149,123,-173,51,175,71,7,-35,63,36
-192,-43,149,118,-170,53,176,73,8,-34,66,39
-194,-44,150,119,-172,53,177,73,8,-34,67,39
-198,-49,149,124,-173,50,176,71,7,-34,65,37
-199,-50,149,125,-174,50,176,71,8,-33,65,37
-193,-44,149,119,-171,53,177,73,10,-32,67,39
-188,-39,149,114,-168,55,177,74,12,-31,67,40
-188,-40,148,114,-168,54,178,75,12,-31,66,39
-192,-46,146,119,-169,50,180,78,13,-33,64,36
-196,-53,143,125,-169,45,184,85,17,-33,62,33
-196,-61,135,129,-165,37,190,95,23,-32,58,28
-194,-70,124,132,-159,27,197,110,33,-29,55,23
-195,-84,111,140,-153,14,204,124,43,-27,50,15
-197,-99,98,148,-147,0,211,139,54,-28,41,5
-194,-106,88,150,-141,-9,222,157,70,-26,35,-1
-188,-103,85,146,-136,-9,231,171,86,-21,33,-3
-186,-97,89,142,-137,-4,232,176,97,-16,35,-1
-186,-87,99,137,-142,6,226,173,110,-7,42,5
-180,-66,114,123,-147,24,216,168,125,11,57,18
-169,-36,133,103,-151,49,200,159,140,38,80,40
-159,-1,158,80,-158,79,179,145,154,68,109,66
-149,35,184,57,-166,110,159,128,166,101,145,98
-141,75,216,33,-178,146,140,106,171,136,184,132
-136,117,253,10,-194,185,120,73,164,169,225,167
-136,160,296,-12,-216,228,96,27,131,192,262,202
-139,211,350,-36,-244,281,68,-44,53,198,298,242
-146,279,425,-66,-285,352,34,-153,-73,188,339,289
-163,347,510,-92,-336,429,-3,-279,-212,171,377,337
-183,395,578,-106,-380,487,-34,-373,-309,160,404,372
-192,425,617,-116,-404,521,-57,-422,-354,163,426,394
-193,445,638,-126,-415,542,-70,-450,-378,170,444,411
-195,444,639,-124,-417,542,-65,-459,-388,174,450,414
-200,417,617,-108,-408,517,-40,-443,-380,174,441,402
-201,379,580,-89,-390,480,-10,-414,-371,153,416,377
-203,339,542,-68,-372,441,15,-386,-374,103,378,346
-209,294,503,-42,-356,399,29,-364,-384,35,328,310
-215,239,454,-12,-334,347,39,-337,-387,-39,270,266
-222,173,395,25,-308,284,54,-301,-382,-113,203,214
-230,108,338,61,-284,223,68,-270,-374,-178,138,162
-239,59,298,90,-268,179,75,-250,-359,-213,89,120
-245,28,273,109,-259,151,73,-234,-333,-215,62,91
-247,8,255,120,-251,132,70,-218,-305,-200,47,73
-248,-6,242,127,-245,118,69,-206,-282,-187,40,59
-250,-20,230,135,-240,105,73,-187,-258,-174,36,48
-252,-32,220,142,-236,94,81,-162,-232,-161,32,38
-249,-40,209,145,-229,85,90,-132,-199,-145,32,32
-243,-39,204,141,-223,83,100,-101,-165,-128,36,31
-235,-32,203,134,-219,86,114,-71,-133,-110,42,33
-225,-24,201,125,-213,89,127,-42,-103,-92,48,36
-215,-18,197,117,-206,90,136,-16,-77,-76,55,39
-208,-16,192,112,-200,88,143,7,-55,-62,61,42
-204,-19,185,112,-194,83,151,26,-37,-51,65,44
-203,-25,178,114,-190,77,157,41,-24,-43,68,44
-202,-29,173,116,-187,72,159,48,-16,-39,69,44
-201,-32,169,117,-185,69,161,53,-10,-37,68,43
-198,-34,164,116,-181,65,165,59,-3,-34,67,42
-198,-37,161,118,-179,62,168,64,4,-33,67,42
-198,-40,158,119,-178,59,171,67,8,-34,67,41
-197,-43,154,120,-175,56,174,72,12,-33,67,40
-196,-44,152,120,-174,54,176,76,17,-30,67,39
-195,-45,150,120,-172,53,177,80,19,-27,67,38
-197,-48,149,123,-173,51,177,81,20,-27,66,36
-199,-50,149,125,-174,50,178,84,22,-25,67,37
-196,-47,149,122,-172,51,177,86,25,-23,68,38
